 planet number, system id,  a [AU],   M [Mearth],  R [Rearth],  ecc,   inc,  stellar [Fe/H]      
            182              10     0.13013         0.23290         0.61078         0.32408E-04     0.31994E-06    -0.15505    
            183              10     0.19781         0.61102         0.82550         0.17959E-01     0.55755E-07    -0.15505    
            184              10      1.0166         0.42749         0.74801         0.20217E-04     0.12075E-03    -0.15505    
            185              10      7.4700         0.36531          1.0457         0.54892E-02     0.64928E-03    -0.15505    
            186              10      23.927         0.12383          1.8082         0.63830E-04     0.42606E-02    -0.15505    
            187              10     0.12461         0.22869         0.60750         0.42730E-04     0.64953E-07    -0.15505    
            188              10     0.69718          1.7306          1.7010         0.63040E-05     0.10114E-05    -0.15505    
            189              10      2.1425         0.72456          1.1877         0.30890E-04     0.16844E-02    -0.15505    
            190              10      8.5187         0.29585         0.97470         0.38191E-04     0.44734E-02    -0.15505    
            191              10      2.5113          1.7410          1.8947         0.50172E-04     0.22735E-03    -0.15505    
            192              10     0.21164         0.37883         0.71250         0.15688E-04      0.0000        -0.15505    
            193              10      1.5489         0.82826          1.1955         0.70995E-05     0.18093E-03    -0.15505    
            194              10      3.9035          1.3376          1.8312         0.10256E-03     0.21276E-02    -0.15505    
            195              10      4.6038          1.4567          1.7652         0.34866E-04     0.27772E-02    -0.15505    
            196              10      1.0898         0.40269         0.73418         0.14202E-03     0.98642E-04    -0.15505    
            197              10      34.469         0.10405          1.0955         0.74637E-04     0.20872E-02    -0.15505    
            198              10     0.31402          1.0408         0.97904         0.15718E-01     0.25810E-07    -0.15505    
            199              10      3.4544          2.2933          2.1050         0.65716E-04     0.12911E-02    -0.15505    
            200              11     0.87731         0.52573         0.79779         0.79322E-05     0.46628E-03    -0.10296    
            201              11     0.27701         0.37302         0.71008         0.26910E-05     0.26513E-04    -0.10296    
            202              11     0.15815         0.24284         0.61929         0.37706E-05     0.39651E-04    -0.10296    
            203              11      1.2046         0.53072         0.96398         0.34267E-04     0.49154E-03    -0.10296    
            204              11      21.279         0.10952          1.5469         0.66360E-04     0.39207E-02    -0.10296    
            205              11     0.72792         0.58142         0.82299         0.71971E-05     0.21966E-03    -0.10296    
            206              11      27.459         0.10356          1.1087         0.76142E-04     0.80651E-02    -0.10296    
            207              11      31.462         0.10173         0.97547         0.83563E-04     0.54029E-02    -0.10296    
            208              11      3.8286         0.78095          1.4057         0.83197E-05     0.39874E-02    -0.10296    
            209              11      39.041         0.10057         0.82792         0.93029E-04     0.70859E-02    -0.10296    
            210              11     0.39835         0.47869         0.77226         0.10747E-05     0.23119E-04    -0.10296    
            211              11     0.50016         0.52427         0.79544         0.95743E-05     0.24171E-04    -0.10296    
            212              11      1.4396         0.49022         0.92863         0.25198E-03     0.20874E-02    -0.10296    
            213              11      10.463         0.15320         0.81249         0.45474E-04     0.24564E-02    -0.10296    
            214              11      1.9507         0.41152         0.88069         0.21236E-02     0.35554E-03    -0.10296    
            215              11      2.9528          1.0197          1.5966         0.11837E-05     0.19800E-02    -0.10296    
            216              11     0.91853E-01     0.18116         0.56385         0.15946E-01     0.15610E-04    -0.10296    
            217              11      4.3771         0.58765          1.2584         0.34904E-04     0.52155E-04    -0.10296    
            218              11     0.69385E-01     0.14392         0.52031         0.96576E-06     0.10326E-04    -0.10296    
            219              11     0.57863E-01     0.12316         0.53186         0.91178E-06     0.10374E-04    -0.10296    
            220              12      9.3921         0.28593         0.94560         0.32258E-04     0.15859E-02     0.17226    
            221              12     0.72015E-01     0.33046         0.68044         0.13537E-05     0.39425E-07     0.17226    
            222              12     0.49097         0.79736         0.90542         0.63020E-05     0.20048E-06     0.17226    
            223              12      20.945         0.11147         0.80597         0.60007E-04     0.58921E-02     0.17226    
            224              12     0.66639          1.4768          1.8252         0.10517E-03     0.69893E-07     0.17226    
            225              12      33.261         0.10210         0.97555         0.35045E-02     0.10872E-02     0.17226    
            226              12     0.25882         0.44412         0.75090         0.19926E-04     0.21073E-07     0.17226    
            227              12     0.10564         0.38250         0.71418         0.16673E-05     0.42147E-07     0.17226    
            228              12     0.41085          1.7067          1.5930         0.15540E-01     0.14901E-07     0.17226    
            229              12     0.55389         0.80322         0.90904         0.95267E-05     0.59605E-07     0.17226    
            230              12      10.217         0.25241         0.91551         0.40574E-04     0.89767E-02     0.17226    
            231              12     0.17527         0.82809         0.90627         0.11411E-04      0.0000         0.17226    
            232              12     0.11431         0.29728         0.65997         0.97579E-02     0.13411E-06     0.17226    
            233              12     0.22659         0.43018         0.74103         0.10345E-04     0.24166E-06     0.17226    
            234              12      16.298         0.13407         0.77968         0.18907E-03     0.78301E-02     0.17226    
            235              12     0.24079         0.44097         0.74764         0.11913E-04     0.59250E-06     0.17226    
            236              12      25.381         0.11272         0.97635         0.46444E-04     0.75715E-02     0.17226    
            237              12      2.5224          1.5710          1.6374         0.11329E-04     0.13438E-02     0.17226    
            238              12      2.2929         0.94251          1.2772         0.99370E-05     0.66782E-03     0.17226    
            239              12      4.8587          2.0816          1.8317         0.21723E-04     0.50854E-02     0.17226    
            240              13     0.47158         0.28932         0.66057         0.58583E-05     0.16236E-02     0.14285    
            241              13      1.0636         0.30220         0.67101         0.47225E-05     0.38005E-02     0.14285    
            242              13      17.312         0.10521          1.4490         0.54342E-04     0.30235E-02     0.14285    
            243              13      19.402         0.10310          1.2459         0.58154E-04     0.64245E-02     0.14285    
            244              13     0.82402         0.45754         0.76409         0.81855E-05     0.18954E-02     0.14285    
            245              13     0.11505         0.17978         0.56294         0.26608E-05     0.33280E-03     0.14285    
            246              13      4.1177         0.44112          1.0513         0.22208E-04     0.28889E-02     0.14285    
            247              13     0.19265         0.18873         0.57147         0.18164E-05     0.92327E-03     0.14285    
            248              13     0.75643E-01     0.14148         0.51576         0.47039E-06     0.29817E-03     0.14285    
            249              13      1.0048         0.31832         0.68207         0.33439E-05     0.11363E-02     0.14285    
            250              13      24.724         0.10113         0.96664         0.66393E-04     0.40191E-02     0.14285    
            251              13      26.566         0.10081         0.91151         0.60800E-04     0.75057E-03     0.14285    
            252              13     0.18286         0.19092         0.57345         0.17936E-03     0.11114E-02     0.14285    
            253              13      21.010         0.10222          1.1315         0.60186E-04     0.33925E-02     0.14285    
            254              13     0.44397         0.29938         0.66769         0.10650E-03     0.14759E-02     0.14285    
            255              13     0.92924         0.44799         0.75904         0.54226E-05     0.15986E-02     0.14285    
            256              13      9.0144         0.14304         0.78121         0.37889E-04     0.48221E-02     0.14285    
            257              13      1.4390         0.41250         0.74136         0.20796E-04     0.26015E-02     0.14285    
            258              13     0.28071         0.30404         0.66683         0.80680E-05     0.67401E-03     0.14285    
            259              13      3.0783         0.69955          1.2172         0.70843E-05     0.17049E-02     0.14285    
